Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
27,22,1,16,2,0,0.0,7.075816392899e-05,2.160049916711e-11,0.0,26.0,116.875,4.212318317109e-09,-3.092854962852,5.91017305851e-06,0.0100176166743,4.040077328682e-06,5153.651613235,7200.0,-3.352761268616e-08,-2.468746289924,-1.471489667892e-07,0.9738924207913,309.8125,0.6299790223207,-7.874613723555e-09,2.396528396456e-10,1.0,2193.0,0.0,2.8,0.0,1.862645149231e-09,26.0,300.0,4.0
32,22,1,16,2,0,0.0,-5.121389403939e-05,-6.139089236967e-12,0.0,42.0,8.65625,4.523759861328e-09,-2.411708904625,4.749745130539e-07,0.005418440094218,7.864087820053e-06,5153.758407593,7200.0,-2.421438694e-08,0.6662553076821,-5.40167093277e-08,0.9578829343662,226.71875,-2.373685115341,-7.767466403296e-09,5.885959459551e-10,1.0,2193.0,0.0,2.0,0.0,4.656612873077e-10,42.0,330.0,4.0
21,22,1,16,1,59,44.0,0.0001561921089888,7.958078640513e-13,0.0,0.0,-69.0,4.603406036053e-09,-2.959661618701,-3.227964043617e-06,0.02452208625618,-1.490116119385e-07,5153.600324631,7184.0,2.235174179077e-08,-1.498415359289,4.153698682785e-07,0.9589800073551,376.75,-1.026060325268,-8.046763751438e-09,-1.12861844006e-10,1.0,2193.0,0.0,2.0,0.0,-1.024454832077e-08,0.0,1230.0,4.0
1,22,1,16,2,0,0.0,0.0004562386311591,-9.777068044059e-12,0.0,68.0,-75.46875,4.204460846956e-09,0.9642345340673,-3.794208168983e-06,0.0112619290594,1.758337020874e-06,5153.672481537,7200.0,-1.080334186554e-07,-1.408301404995,1.396983861923e-07,0.986402370178,360.375,0.8821843305184,-8.302845846856e-09,-3.357282701443e-10,1.0,2193.0,0.0,2.0,0.0,5.122274160385e-09,68.0,1530.0,4.0
12,22,1,16,1,59,44.0,-0.0001564496196806,-5.684341886081e-12,0.0,0.0,66.46875,4.166244969397e-09,-0.3648734084535,3.485009074211e-06,0.008580567198806,1.056306064129e-05,5153.622253418,7184.0,-4.284083843231e-08,2.839835577316,1.285225152969e-07,0.9710444440588,187.875,1.23773885718,-7.781752712664e-09,-2.317953694933e-10,1.0,2193.0,0.0,2.0,0.0,-1.257285475731e-08,0.0,3210.0,4.0
31,22,1,16,2,0,0.0,-0.0001601446419954,-1.818989403546e-12,0.0,39.0,-8.875,4.915204738007e-09,-0.1494037813929,-2.682209014893e-07,0.01046062691603,5.878508090973e-06,5153.666360855,7200.0,1.024454832077e-07,1.745432380242,8.381903171539e-08,0.9547796140605,261.0625,0.3665507230289,-8.242129032043e-09,-2.53224833545e-10,1.0,2193.0,0.0,2.0,0.0,-1.303851604462e-08,39.0,3510.0,4.0
25,22,1,16,1,59,44.0,0.000271497759968,5.570655048359e-12,0.0,13.0,57.21875,4.464114519717e-09,-0.5965791045429,3.12551856041e-06,0.01037012063898,1.019798219204e-05,5153.72759819,7184.0,1.862645149231e-08,2.763526990757,1.806765794754e-07,0.9584191040827,186.28125,0.9721697850137,-7.951402636407e-09,-2.989410235221e-10,1.0,2193.0,0.0,2.0,0.0,5.587935447693e-09,13.0,4800.0,4.0
17,22,1,16,2,0,0.0,0.0005620163865387,5.229594535194e-12,0.0,70.0,124.4375,4.151244344561e-09,-3.117358836291,6.524845957756e-06,0.01372272230219,3.024935722351e-06,5153.744668961,7200.0,2.607703208923e-07,-2.406483457798,2.235174179077e-08,0.9802397385311,329.59375,-1.508250452205,-7.855327205909e-09,2.396528396456e-10,1.0,2193.0,0.0,2.0,0.0,-1.117587089539e-08,70.0,4920.0,4.0
10,22,1,16,4,0,0.0,-0.0002947174943984,-9.663381206337e-12,0.0,23.0,-98.625,4.009452724085e-09,0.00612756257472,-5.18374145031e-06,0.007434081286192,8.966773748398e-06,5153.684991837,14400.0,2.421438694e-08,-0.3756844388906,8.568167686462e-08,0.9724030282836,211.5625,-2.536395437199,-7.816397012881e-09,-4.643050544549e-11,1.0,2193.0,0.0,2.0,0.0,2.328306436539e-09,23.0,7230.0,4.0
12,22,1,16,3,59,44.0,-0.0001564905978739,-5.684341886081e-12,0.0,5.0,72.0625,3.981594420818e-09,0.6852881176636,3.626570105553e-06,0.008582947193645,1.101568341255e-05,5153.626869202,14384.0,-1.210719347e-07,2.839780251218,7.450580596924e-09,0.9710424149914,171.78125,1.237784729902,-7.7549658826e-09,-3.46085844436e-10,1.0,2193.0,0.0,2.0,0.0,-1.257285475731e-08,5.0,7260.0,4.0
