Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
17,22,1,16,2,0,0,0.000562016,5.23E-12,0,70,124.4375,4.15E-09,-3.117358836,6.52E-06,0.013722722,3.02E-06,5153.744669,7200,2.61E-07,-2.406483458,2.24E-08,0.980239739,329.59375,-1.508250452,-7.86E-09,2.40E-10,1,2193,0,2,0,-1.12E-08,70,4920,4
10,22,1,16,4,0,0,-0.000294717,-9.66E-12,0,23,-98.625,4.01E-09,0.006127563,-5.18E-06,0.007434081,8.97E-06,5153.684992,14400,2.42E-08,-0.375684439,8.57E-08,0.972403028,211.5625,-2.536395437,-7.82E-09,-4.64E-11,1,2193,0,2,0,2.33E-09,23,7230,4
12,22,1,16,3,59,44,-0.000156491,-5.68E-12,0,5,72.0625,3.98E-09,0.685288118,3.63E-06,0.008582947,1.10E-05,5153.626869,14384,-1.21E-07,2.839780251,7.45E-09,0.971042415,171.78125,1.23778473,-7.75E-09,-3.46E-10,1,2193,0,2,0,-1.26E-08,5,7260,4
17,22,1,16,4,0,0,0.000562055,5.23E-12,0,72,116.3125,4.09E-09,-2.067167164,6.30E-06,0.013722181,2.94E-06,5153.746269,14400,1.62E-07,-2.406540133,1.75E-07,0.980241842,332.75,-1.508307291,-7.86E-09,3.01E-10,1,2193,0,2,0,-1.12E-08,72,7350,4
21,22,1,16,3,59,44,0.000156198,7.96E-13,0,3,-49.8125,4.75E-09,-1.909553043,-2.00E-06,0.02452545,1.58E-06,5153.592108,14384,-3.22E-07,-1.498473542,5.09E-07,0.958978227,350,-1.025939946,-8.27E-09,-1.18E-10,1,2193,0,2,0,-1.02E-08,3,7410,4
23,22,1,16,4,0,0,1.07E-05,-3.87E-12,0,92,-109.9375,4.13E-09,1.35736934,-5.64E-06,0.001957323,8.90E-06,5153.7038,14400,4.10E-08,-0.400376065,9.31E-09,0.967438685,211.09375,2.911850403,-7.76E-09,-5.21E-11,1,2193,0,2,0,-8.38E-09,348,7320,4
24,22,1,16,4,0,0,0.000277134,-1.14E-13,0,87,-9.28125,5.35E-09,2.319208486,-6.03E-07,0.012278478,5.37E-06,5153.689482,14400,-9.69E-08,1.645128846,-2.42E-07,0.933981523,262.46875,0.801161913,-8.24E-09,-1.83E-10,1,2193,0,2,0,2.33E-09,87,7470,4
25,22,1,16,3,59,44,0.000271538,5.57E-12,0,14,61.90625,4.34E-09,0.453520123,3.13E-06,0.010371147,1.06E-05,5153.729511,14384,-1.56E-07,2.763470325,1.27E-07,0.958416863,176.5,0.972217641,-7.90E-09,-3.99E-10,1,2193,0,2,0,5.59E-09,14,7500,4
31,22,1,16,4,0,0,-0.000160158,-1.82E-12,0,40,-11.5625,4.85E-09,0.900803094,-4.14E-07,0.010460311,5.92E-06,5153.665667,14400,-8.01E-08,1.745374162,1.83E-07,0.954777856,261.8125,0.366531538,-8.12E-09,-3.74E-10,1,2193,0,2,0,-1.30E-08,40,7560,4
32,22,1,16,4,0,0,-5.13E-05,-6.14E-12,0,67,7.5,4.60E-09,-1.361569785,3.54E-07,0.005418542,7.88E-06,5153.758444,14400,1.75E-07,0.66619993,-4.28E-08,0.957886463,228,-2.373695157,-7.87E-09,4.52E-10,1,2193,0,2,0,4.66E-10,67,7590,4
